|created_time|id|link|message|message_tags|name|permalink_url|shares|story|story_tags|type|updated_time|place|from_name|from_id
18|2015-02-03T05:13:31+0000|358869244244848_603663839765386|https://www.facebook.com/malawiredcross/photos/a.514890295309408/603663823098721/?type=3|"With the help of the Malawi Defense Force (MDF) we managed to move nonfood items from to the area of Traditional Authority Mlolo in Nsanje which is difficult to reach with the current conditions. These items included 5400 blankets, 5400 mosquitoes nets, 5400 tarpaulins, 2700 collapsible jerry cane and 2700 shelter tool kits and 358 cooking sets to help over 14000. The International Federation of Red Cross and Red Crescent Societies (IFRC) which is working with the Malawi Red Cross in this response, has provided the relief items to Malawi.

Another consignment of nonfood items was sent to the area of Traditional Authority Makhuwira in the neighboring district of Chikwawa to reach over 7500 affected people.  We have distributed 3000 mosquito nets, 3000 blankets, 3000 tarpaulins, 1500 water containers, 1500 shelter tool kits and 1500 cooking sets."||Mobile Uploads|https://www.facebook.com/358869244244848/posts/603663839765386/?substory_index=0|1.0|||photo|2015-02-03T05:13:31+0000||Malawi Red Cross Society - MRCS|358869244244848
20|2017-06-18T20:27:34+0000|1322101571218294_1322209857874132||A district youth organization established in 2007, focus on HIV/AIDs mitigation, disaster management, gender & human rights, youth leadership & participation, environmental conservation, first aid & blood donor recruitment and promoting food security|||https://www.facebook.com/1322101571218294/posts/1322209857874132/||||status|2017-06-18T20:27:34+0000||Machinga Youth Red Cross Society of Malawi|1322101571218294
23|2019-06-23T20:22:59+0000|358869244244848_1709087225889703|https://www.facebook.com/malawiredcross/photos/a.358896737575432/1709081952556897/?type=3|"Kuwait Red Crescent gives Humanitarian Aid to 1772 affected households, Pledges more support

By Felix Washon

Following the heavy rains that started on 3rd to 9th March 2019, which resulted into flooding in the 15 southern districts of Malawi, affecting 840,000 people, displacing over 94,000 people and left 56 people dead, Kuwait Red Crescent Society donated Humanitarian assistance worthy 74 Million kwacha to Malawi Red Cross Society to help the affected communities. 

Speaking in an interview after witnessing the distribution of relief items in Nsanje and Chikwawa on Tuesday and Wednesday respectively, team leader of a four-member delegation from Kuwait Red Crescent, Yousef Alnajjar said the delegation was happy to see that the donation they gave to Malawi Red Cross had reached the intended beneficiaries. He said the people of Kuwait were touched by the flooding situation that left 56 people dead. He advised the beneficiaries to put the items they received to good use. 

Secretary General for Malawi Red Cross Mr. McBain Kanongodza thanked Kuwait Red Crescent for the support. He said the donation came at the right time when the displaced people had just returned to their villages. Kanongodza thanked the affected people for making a decision to move away from the low laying areas to the higher areas where they will not be affected by the floods again.

A set of 3 pots, Maize flour, Cooking oil, Bathing soap, Laundry soap, Kitchen salt, and a Hoe and a plastic sheet, are some of the materials that were donated to 1772 households at Nyachirenda in Nsanje and at Matelekera and Linga in Chikwawa district. Development Aid from people to people (DAPP) joined in the good course by providing a pack of 20 pieces of clothes.

As MRCS enters into recovery phase of the 2019 disaster response, Kuwait Red Crescent Society has pledged for more support in the areas provision of safe and clean water and Shelter.

District commissioner for Nsanje district Mr. Michael Chimbalanga applauded Kuwait Red Crescent for the donation. He appealed to other well-wishers to support the affected communities as there are still more gaps that need support."||Photos from Malawi Red Cross Society - MRCS's post|https://www.facebook.com/358869244244848/posts/1709087225889703/|5.0|||photo|2019-06-24T02:48:59+0000||Malawi Red Cross Society - MRCS|358869244244848
24|2017-06-21T21:08:11+0000|358869244244848_1170772319721199|https://www.facebook.com/malawiredcross/photos/a.359290337536072/1170772079721223/?type=3|||'s cover photo|https://www.facebook.com/358869244244848/posts/1170772319721199/||Malawi Red Cross Society - MRCS updated their cover photo.|[{'id': '358869244244848', 'name': 'Malawi Red Cross Society - MRCS', 'type': 'page', 'offset': 0, 'length': 31}]|photo|2017-06-21T21:08:11+0000||Malawi Red Cross Society - MRCS|358869244244848
25|2015-02-02T21:28:20+0000|358869244244848_603550423110061|https://www.facebook.com/malawiredcross/photos/a.514890295309408/603544433110660/?type=3|Life at the camps: Our volunteers continue to support displaced people who are now being accommodated at the at the camps.||Photos from Malawi Red Cross Society - MRCS's post|https://www.facebook.com/358869244244848/posts/603550423110061/|7.0|||photo|2015-02-02T21:28:20+0000||Malawi Red Cross Society - MRCS|358869244244848
27|2017-06-18T20:08:48+0000|1322101571218294_1322195634542221|https://www.facebook.com/1322101571218294/photos/a.1322195691208882/1322195634542221/?type=3|Mafueld Mbuladye, Zatonse youth club coordinator orienting the youth on danger of early & forced marriages & school dropout in Machinga District T/A Liwonde||Timeline Photos|https://www.facebook.com/1322101571218294/posts/1322195634542221/?substory_index=0||||photo|2017-06-18T20:08:48+0000||Machinga Youth Red Cross Society of Malawi|1322101571218294
30|2019-06-05T05:49:09+0000|358869244244848_1692845147513911|https://www.facebook.com/malawiredcross/photos/a.358896737575432/1692844897513936/?type=3||||https://www.facebook.com/358869244244848/posts/1692845147513911/||||photo|2019-06-05T05:49:09+0000||Malawi Red Cross Society - MRCS|358869244244848
31|2017-06-21T20:49:42+0000|358869244244848_1170761356388962|https://www.facebook.com/malawiredcross/photos/a.358896737575432/1170760249722406/?type=3|"Malawi Red Cross Society hands over Diarrhoea Mitigation WASH project

The Malawi Red Cross Society (MRCS) has handed over a one million Euros (about K560 million) worth Diarrhoea Mitigation Water, Sanitation and Hygiene (WASH) project which it was implementing in the area of Traditional Authority (T/A) Mkhumba in Phalombe.

Speaking at the handover ceremony on Tuesday, MRCS Deputy President Mary Ngulube said implementation of the three-year long project was influenced by the high mortality and morbidity rate which Phalombe was registering mostly due to diarrhoeal disease. The dirrhoeal disease cases were mainly caused by unsafe water which people in the district were using.

“Realising that it is painful to lose a child to an easily prevented or cured ailment such as diarrhoea, Malawi Red Cross Society, the Government of Malawi and other stakeholders, with financial support from the Netherlands Red Cross, came together to embark on this project.

“The project’s water and sanitation facilities were handled over to the communities so that they can run them on their own. As we are doing this, we urge communities to take care of the facilities so that they should also benefit generations to come,” said Ngulube.

Ngulube said the project mainly focused on four areas namely provision of improved water sources; promotion of hygiene and sanitation services; provision of diarrhoea drugs for early treatment and capacity building for the benefiting communities.
“Through the provision of improved water sources, the project rehabilitated and upgraded Phalombe Minor Gravity Water fed system to support about 20 communities. It also rehabilitated 45 boreholes and provided 2 200 water filters to some households and schools who still had no access to safe water sources.
“Also, on promotion of hygiene and sanitation, we constructed 80 latrines in eight schools, pit-emptied and repaired 20 latrines in two primary schools. We also constructed 20 urinals and 20 hand washing facilities for boys and girls in the same schools as well as eight latrines at Mpasa and Migowi health centres,” added Ngulube.

Phalombe District Commissioner (DC) Harry Phiri, speaking in an interview, commended Malawi Red Cross Society by saying that the project has brought a number of fruits since its inception.

Phiri cited how cases of waterborne diseases have gone down in the district, how women and girls are no longer travelling long distances to fetch water leaving their farms and homes unattended and how hygiene has improved in health centres and schools in the district.

“The improved water supply is also helping at Migowi Health Centre where previously pregnant women and their guardians had to walk long distances in order to fetch water. Hygiene activities at the health centre have also been uplifted because of the provision of water. Washing of bed linen has also been simplified,” said Phiri.

Guest of honor at the handover ceremony, Southern Region irrigation and water development officer Phideria Moyo also commended MRCS and Netherlands Red Cross for the project.
She said though Phalombe is naturally blessed with water; it was a problem for communities to access clean and potable water because the available water is not clean and unsafe for drinking.

“This project also came at a time when Malawi as a country and government is racing towards achieving Sustainable Development Goal (SDG) 6 which is to ensure availability and sustainable management of water and sanitation for all.
In her remarks, T/A Mkhumba said the project has simplified her people’s lives. She said now people can access safe and potable water right in their communities.

“Before this project, my subjects had to walk long distances to source for water which was usually not potable and was causing waterborne diseases. We are happy about this project and its benefits,” said the chief.

All the communities benefitting from the project also shared their chief's excitement by thanking Malawi Red Cross Society and Netherlands Red Cross."||Photos from Malawi Red Cross Society - MRCS's post|https://www.facebook.com/358869244244848/posts/1170761356388962/|4.0|||photo|2017-06-24T15:22:26+0000||Malawi Red Cross Society - MRCS|358869244244848
32|2015-01-29T18:25:19+0000|358869244244848_601667006631736|https://www.facebook.com/malawiredcross/photos/a.514890295309408/601666446631792/?type=3|Some flood victims have chosen to stay and do the little they can to rebuild their lives. Although they are not in the camps,  these people still need help. Our volunteers are moving around the villages giving support to such people. Food, shelter, risk of diseases remain our major concerns.||Photos from Malawi Red Cross Society - MRCS's post|https://www.facebook.com/358869244244848/posts/601667006631736/|1.0|||photo|2015-01-29T18:25:19+0000||Malawi Red Cross Society - MRCS|358869244244848
34|2017-06-18T19:13:31+0000|1322101571218294_1322154564546328|https://www.facebook.com/1322101571218294/photos/a.1322154267879691/1322154274546357/?type=3|||Machinga Youth Red Cross Society of Malawi|https://www.facebook.com/1322101571218294/posts/1322154564546328/?substory_index=0||Machinga Youth Red Cross Society of Malawi updated their profile picture.|[{'id': '1322101571218294', 'name': 'Machinga Youth Red Cross Society of Malawi', 'type': 'page', 'offset': 0, 'length': 42}]|photo|2017-06-18T19:13:31+0000||Machinga Youth Red Cross Society of Malawi|1322101571218294
37|2019-05-23T14:49:13+0000|358869244244848_1682309395234153|https://www.facebook.com/malawiredcross/photos/a.358896737575432/1682305601901199/?type=3|"After successfully provided first Aid services on the polling day and in districts tally centers in Malawi Elections, #MalawiRedCross is at the Comesa Hall, National Tally Center, providing same service. 

The response has been supported by , #ICRC Belgian and Finnish Red Cross Soceities.

Over 2,500 people have been assisted already. Meanwhile counting of votes is under way. Over 80% OF of votes counted so far. 

Mean while the situation is still calm with pockets of small conflicts reports in some centers. 

#Servingwithpride
#Hopetothoseinneed"|[]|Photos from Malawi Red Cross Society - MRCS's post|https://www.facebook.com/358869244244848/posts/1682309395234153/|5.0|||photo|2019-06-05T12:27:49+0000||Malawi Red Cross Society - MRCS|358869244244848
38|2017-06-15T20:16:00+0000|358869244244848_1166251466839951|https://www.facebook.com/malawiredcross/photos/a.358896737575432/1166232540175177/?type=3|"Malawi Red Cross Society Hands over a 1.7 Million Euros WASH Project

After 34 months of implementation of 1.7 Million worthy Integrated WASH intervention in low income areas of Mzuzu and Karonga Project, in partnership with the Netherlands Red Cross with Financial support from the European Union (EU), Malawi Red Cross Society (MRCS) on Tuesday  celebrated its achievements and officially handed over the WASH facilities of the project to Karonga District Council and Mzuzu City Council. 

According to Hastings Kandaya, Acting Secretary General of MRCS, the project had four areas of focus among others, to improve Sanitation Coverage and Improve access to potable water to Mzuzu and Karonga residents where the project managed to construct 20 community water kiosks and rehabilitated 25 others in Mzuzu and Karonga. 

“On improving sanitation coverage the project managed to increase the latrine coverage in the project areas with special consideration for people with physical disabilities and girls undergoing menstruation. During the implementation period, the project managed to construct 100 improved latrines and dislodged (pit emptied) 575 filled up latrines in health centers and schools. Further, the project rehabilitated a total of 25 public owned latrines which were dilapidated and unusable. All the 675 latrines are now in use. Random visits to primary schools in Mzizu and Karonga show that absenteeism of girls in schools has reduced due to improved privacy as the new latrines provide change rooms for girls during menstruation.” Kandaya said.

Kandaya further applauded and attributed the success of the project to the coordination that existed among the partners namely Northern Region Water Board, Mzuzu University, Mzuzu City Council, Karonga District council and the EU.

In an effort to further improve and sustain latrine coverage in the impact areas, the project through its partner, Mzuzu University established five demonstration centers with three different latrine designs at each center for people to emulate from for good and permanent latrine structures."||Photos from Malawi Red Cross Society - MRCS's post|https://www.facebook.com/358869244244848/posts/1166251466839951/|4.0|||photo|2017-06-15T20:16:00+0000||Malawi Red Cross Society - MRCS|358869244244848
39|2015-01-27T17:36:17+0000|358869244244848_600744980057272||Safety alert: Heavy rains forecast Wednesday 28th January to Saturday 31st January 2015 in some places including shire highlands|||https://www.facebook.com/358869244244848/posts/600744980057272/|3.0|||status|2015-01-27T17:36:17+0000||Malawi Red Cross Society - MRCS|358869244244848
43|2019-05-08T21:07:14+0000|358869244244848_1669932256471867|https://www.facebook.com/malawiredcross/photos/a.358896737575432/1669930353138724/?type=3|"Malawi Red Cross Society Celebrates World Red Cross Day with the needy.

Malawi Red Cross Society (MRCS) in partnership with the Japanese Blanket for Africa Campaign (JBAC), on 8th May, on the World Red Cross day joined the rest of the Red Cross Red Crescent movement celebrations by launching the 2019 blankets distribution campaign to the needy in Malawi.

Speaking during the launch at Masambo School ground in the Area of senior chief Mazengela President for MRCS Levison Changole said about 25 thousand pieces of blankets will be distributed this year to the orphans and vulnerable children, the elderly, the chronically ill, and the disabled in 33 divisions in all the 28 districts in Malawi.

“With #Love receive the gift of Blankets from the people of Japan through MRCS.” Said Changole. He added that the choice of the date was carefully chosen to share the #Love with the vulnerable communities in line this year’s World Red Cross Red Crescent Day theme #Love.

While thanking the Red Cross for the donation, senior chief Mazengela advised the beneficiaries not to sale the blankets, but to use them to avoid cold related infections such as pneumonia and other ailments  the winter. 

During the same event, 16 Volunteers from Lilongwe Division were awarded Red Cross Life Associate Membership Certificates."|[]|Photos from Malawi Red Cross Society - MRCS's post|https://www.facebook.com/358869244244848/posts/1669932256471867/|5.0|||photo|2019-05-16T09:51:24+0000||Malawi Red Cross Society - MRCS|358869244244848
44|2017-06-09T20:17:16+0000|358869244244848_1161829583948806|https://www.facebook.com/malawiredcross/photos/a.358896737575432/1161828297282268/?type=3|"MRCS urges parents to take children for Measles-Rubella vaccination

Malawi Red Cross Society (MRCS) has urged all parents and caregivers in the country to take their children for Measles Rubella vaccination during the week-long vaccination campaign which will start on Monday, June 12 to Friday, June 16, 2017.

MRCS, in the mobilisation exercise, has brought together almost 2 600 of its volunteers who are conducting door to door visits in all the locations of six districts namely Blantyre, Zomba, Mangochi, Lilongwe, Mzuzu and Mzimba. It is being conducted with financial support from American Red Cross.

Taonga Nyekanyeka, MRCS programmes manager, who is also focal person for the mobilisation campaign, speaking in an interview in Chilomoni Township in Blantyre today where some volunteers were conducting the door to door mobilisation, said the door to door strategy is ideal as the volunteers are providing informed viewpoints about Measles Rubella vaccination to parents and caregivers.

He added that the strategy, to run for 10 days up to the last day of the vaccination period, also gives the parents and caregivers an opportunity to get answers to their unresolved questions or concerns that other channels do not answer.

 “Volunteers are visiting households to sensitize parents and caregivers regarding measles control and the need for parents and caregivers to take their children for the measles rubella vaccination campaign.

“The volunteers are also making a count of targeted children in a household to inform accurate planning and measurement of vaccination coverage at the end of the campaign,” said Nyekanyeka.

American Red Cross measles rubella advisor Amina Ismail, in interview, said rubella is a big issue and globally, the disease occurs under measles. She added that, as such, many countries in the globe have introduced the Measles Rubella vaccine as one component.

“In Africa, we have several countries who have introduced the vaccine together with the measles vaccine. For Malawi to come into the scene, it just shows that it is moving on with the rest of the globe to ensure that its children and mothers are protected against this preventable disease,” said Ismail.

According to one of the volunteers, Sheriffa Bakali, most of the households being visited in the locations have an idea about the Measles Rubella campaign. They have heard the messages on radios, community gatherings and some even at funerals.

“When visiting the households, we are just adding on to the information which they already have. From the households, we are gathering information regarding how many children aged nine months to 15 years are there and also encouraging them to take these children to get the vaccination,” said Bakali.

The vaccination campaign, to take place in all public and Christian Hospital Association of Malawi (Cham) facilities and other designated sites, will see a combined measles and rubella (MR) vaccine being administered to children from nine months old to less than 15 years old.

De-worming tablets will be administered to children aged a year-old to less than five years while a vitamin A capsule will be supplemented to children aged from six months to less than five years.

The Ministry of Health (MoH) has organised the measles rubella vaccination campaign to ensure adequate protection of children against measles and rubella diseases; intestinal worms and vitamin A deficiency conditions.

After the campaign, from July 2017, MoH will introduce the measles and rubella vaccine into the routine immunization schedule for children. The children will be given two doses of the combined measles and rubella vaccine to replace the two doses of measles vaccine. The vaccine will continue to be given to children from nine to 15 months of age. About 8 million children are expected to receive the vaccine during the campaign."||Photos from Malawi Red Cross Society - MRCS's post|https://www.facebook.com/358869244244848/posts/1161829583948806/|7.0|||photo|2017-06-10T19:46:05+0000||Malawi Red Cross Society - MRCS|358869244244848
45|2015-01-27T08:10:08+0000|358869244244848_600584206740016|https://www.facebook.com/malawiredcross/photos/a.358896737575432/600580420073728/?type=3|The current floods disaster is the worst Malawi has experienced in over a decade. Raiinstorms , strong winds have also affected thousands across the country . Non traditional disaster areas like Blantyre, Ntcheu, Lilongwe and Mzimba have been hit hard. Malawi Red Cross Society staff and volunteers have been involved in the response operations in rescue, search, registration of affected people, counselling and providing relief aid. Malawi Red Cross has a volunteer base of over 30,000 making it probably the only organisation with many volunteers and represented all over the country. This is the reason why Malawi Red Cross Society is considered as first responders to all disasters in the country because our are always the first and the last to leave disaster areas. Our slogan is HOPE TO THOSE IN NEED||Photos from Malawi Red Cross Society - MRCS's post|https://www.facebook.com/358869244244848/posts/600584206740016/|1.0|||photo|2015-01-27T10:44:31+0000||Malawi Red Cross Society - MRCS|358869244244848
49|2019-05-08T05:38:12+0000|358869244244848_1669379439860482|https://www.facebook.com/malawiredcross/photos/a.358896737575432/1669379393193820/?type=3||||https://www.facebook.com/358869244244848/posts/1669379439860482/|51.0|||photo|2019-05-08T05:40:25+0000||Malawi Red Cross Society - MRCS|358869244244848
50|2017-05-30T02:51:52+0000|358869244244848_1154097868055311|https://www.facebook.com/malawiredcross/photos/a.358896737575432/1154094954722269/?type=3|"Malawi Red Cross Society responds to Cholera outbreak

About 22 suspected cholera cases were received at Montfort Mission Hospital in Nchalo, Chikwawa from 23rd May.  According to the Environmental Health Officer (EHO) at the hospital, Ms. Matilda Mkhambule, the number of cases escalated rapidly from two cases received on 23rd May to 22 cases to date.

Mkhambule attributed the possible cause to Poor hygiene in some households and the use of unsafe water from Mkombezi river which run through most of the affected areas such as Allan Village which registered a total of 6 cases, Sekeni village which registered 8 cases, Dzilonzo  village which registered 3 cases, Nyaka, Hetala and Sanyama villages with 1 case each.

Mkhambule thanked Malawi Red Cross Society (MRCS) and UNICEF for being the first organizations to come in with support. However she highlighted some gaps such as inadequate of blankets, Gumboots, aprons, cannulas, Water guard, ORS, washing powder, Water and spirit.

MRCS’s National Disaster Response Team (NDRT) trained Cecilia Banda who is the District Project Officer for Chikwawa said that after conducting a rapid assessment MRCS came in to support by providing infection prevention items such as gloves and gumboots. In addition, MRCS has erected tents for administering ORS, cleaned the surrounding of the treatment center and constructed a pit latrine, among other things.

“Our volunteers have been mobilized and have been deployed to the affected villages to provide door to door hygiene promotion messages and assist with the administering of ORS.” Banda said.

This year, cholera cases started emerging in March with cases coming from Mozambique through bordering districts of Nsanje, Mwanza and Chikwawa. 

A visit to Thendo Cholera Treatment Camp under Dolo Heath Centre in the area of Traditional Authority Masache, 58 Kms away from Nchalo, revealed that about 20 cases were seen at the camp from 8th of April. MRCS’S Thendo Sub Division Chairman, Andrew Dazimata said that all the 20 cases that were treated at the camp were from Manunkha area in Mozambique. 

MRCS has also supported Gaga in Chikwawa and Ndamera Health Centers in Nsanje with the construction of temporally latrines and Bathroom shelters among others.

MRCS is responding to Cholera outbreak in partnership with UNICEF."||Photos from Malawi Red Cross Society - MRCS's post|https://www.facebook.com/358869244244848/posts/1154097868055311/|6.0|||photo|2017-05-30T03:30:05+0000||Malawi Red Cross Society - MRCS|358869244244848
