|about|category|category_list|company_overview|description|emails|engagement|fan_count|general_info|id|is_permanently_closed|link|mission|name|phone|single_line_address|username|website|founded|hours|location|verification_status|birthday|privacy_info_url
11|Het Rode Kruis district Haaglanden bestaat uit de Rode Kruis afdelingen; Den Haag-Rijswijk, Delft en Midden-Delfland, Leidschendam-Voorburg, Westland, Zoetermeer en Wassenaar.|Safety & First Aid Service|[{'id': '181679458534697', 'name': 'Safety & First Aid Service'}]||Het Rode Kruis Haaglanden is Hier om te Helpen! Wij zijn uw betrouwbare partner bij (grote) evenementen-hulpverlening.|['evenementen@rkhaaglanden.nl']|{'count': 476, 'social_sentence': '476 people like this.'}|476.0||262956790446133|0.0|https://www.facebook.com/RodeKruisDenHaag/||Rode Kruis Haaglanden|070 350 5333|Zilverstraat 2, 2544 ER Den Haag|RodeKruisDenHaag|https://rkhaaglanden.nl/||||||
12|"Studentendesk Amsterdam //
Volg ons op Instagram @RodekruisAmsterdamSD //
Mail ons op: studentendeskamsterdam@rodekruis.nl"|Nonprofit Organization|[{'id': '2603', 'name': 'Nonprofit Organization'}]||"Rode Kruis Studentendesk Amsterdam

Heb jij altijd al iets voor anderen willen betekenen? Maar laat je drukke studieschema vrijwilligerswerk niet altijd toe? Dan biedt de studentendesk de oplossing! Als link tussen het Rode Kruis en studerend Amsterdam biedt de studentendesk een unieke kans om niet alleen je CV aan te scherpen, maar ook een mogelijkheid om iets te doen voor anderen. Op een laagdrempelige en eigentijdse manier zetten wij studenten in als vrijwilligers.

Wat wij doen:

Voor de verschillende, aan thema gerelateerde, projecten zijn er commissies. Een aantal van onze projecten:
- You are beautiful: geweldige dag voor gehandicapten
- Taal is Leuk voor Iedereen: lezen met kinderen die een taalachterstand hebben

Daarnaast verzinnen wij ieder jaar weer ludieke acties om zo veel mogelijk geld op te halen voor 3FM Serious Request.

En er is de mogelijkheid om vanuit de commissie naar het bestuur door te stromen.
Maar dit is niet het enige. De Studentendesk is een ambitieuze organisatie, maar verliest ook het studentikoze aspect niet uit het oog. Met verschillende borrels en uitjes is jouw tijd bij de Studentendesk niet alleen nuttig, maar vooral ook heel gezellig!

Klink dit als muziek in de oren? Kijk op http://humanityworks.rodekruis.nl/vacatures om te zien hoe je meteen aan de slag kan. Of wil je toch iets meer weten? Bekijk onze Facebook of stuur een mailtje.

E-mail
studentendeskamsterdam@rodekruis.nl

Facebook
https://www.facebook.com/studentendesk.rodekruisamsterdam"|['studentendeskamsterdam@rodekruis.nl']|{'count': 2193, 'social_sentence': '2.1K people like this.'}|2193.0|"Adres Rode Kruis Amsterdam:

Valkenburgerstraat 24,
1011 LZ Amsterdam
020 622 6211

"|425600167520620|0.0|https://www.facebook.com/studentendesk.rodekruisamsterdam/|De missie van het Nederlandse Rode Kruis is: het voorkomen en verzachten van menselijk lijden waar dan ook, het beschermen van levens en gezondheid en het waarborgen van respect voor de mens. Onze bijzondere aandacht gaat uit naar hen die het meest kwetsbaar zijn: mensen die zonder onze hulp niet of slecht zouden overleven of van wie de gezondheid zonder hulpverlening in gevaar zou komen.|Rode Kruis Studentendesk Amsterdam||Amsterdam|studentendesk.rodekruisamsterdam|||||||
13|De afdeling Ede van het Rode Kruis bestaat uit 125 enthousiaste vrijwilligers die met hart en ziel ten dienste staan van de Edese gemeenschap. Zij zijn actief op de gebieden NoodHulp en Zelfredzaamheid. Zie onze website voor meer info. www.rodekruisede.nl|Nonprofit Organization|[{'id': '2603', 'name': 'Nonprofit Organization'}, {'id': '181679458534697', 'name': 'Safety & First Aid Service'}, {'id': '185032388204011', 'name': 'First Aid Class'}]||"Rode Kruis in Ede.
Een internationaal bedrijf met een vestiging in Ede! 
De afdeling Ede  bestaat uit ongeveer 120 enthousiaste vrijwilligers, die er samen voor zorgen dat, als het nodig is, aan alle inwoners hulp verleend wordt. 
Wij zijn actief op gebied van bijvoorbeeld: 
Sociale hulp 
Met het organiseren van sociale hulpactiviteiten wil het Rode Kruis het  isolement van mensen doorbreken, eenzaamheid verminderen en zelfredzaamheid vergroten. Wij organiseren “contactmiddagen” en gaan “ samen winkelen”, Onze bijzondere vakantie, bijvoorbeeld met de Henry Dunant zijn populair. Jaarlijks is er een vakantieweek voor Edese kinderen op Terschelling. Kinderen, die anders niet op vakantie gaan.
Noodhulp 
Het Rode Kruis heeft altijd een groep mensen op afroep beschikbaar om ingezet te kunnen worden als ondersteuning van de ambulancedienst in geval van calamiteiten en mensen die zorg kunnen dragen voor de inrichting van een opvangcentrum. Daarnaast ondersteunen we met EHBO teams evenementen.
Hulp bij evenementen 
Of het nu gaat om festivals, concerten of sportwedstrijden: een ongeluk zit in een klein hoekje. Een EHBO post is dan gewenst of verplicht. Wij verzorgen de EHBO bij evenementen. 
Hulp bij rampen 
Mocht zich in Nederland een ramp voordoen, dan kunnen we veel vrijwilligers in korte tijd mobiliseren. In nauwe samenwerking met de professionele hulpdiensten verlenen onze vrijwilligers direct hulp in noodsituaties. Wilt u ook weleens helpen? Kijk eens naar www.ready2help.nl 
Jeugd en Jongeren
Wij vinden het belangrijk om de jeugd bij de organisatie en bij het werk te betrekken. Jongeren van ongeveer 11 jaar kunnen een cursus jeugd-EHBO volgen (iedere vrijdagavond) en worden ook, onder begeleiding, ingezet bij hulpverlening.
Vanuit het Rode Kruis afdeling Ede wordt op scholen voorlichting gegeven over het Rode Kruis.
Op onze website www.rodekruisede.nl vindt u alle informatie over activiteiten, vacatures en hoe u hulp bij een evenement kunt aanvragen. U kunt ons ook vinden op Facebook: Rode Kruis Ede
"|['info@rodekruisede.nl']|{'count': 522, 'social_sentence': '522 people like this.'}|522.0||238415626178465|0.0|https://www.facebook.com/rodekruisede.nl/||Rode Kruis Ede|06 54 64 08 69 |Klinkenbergerweg 30c, 6711 MK Ede|rodekruisede.nl|http://www.rodekruisede.nl|12 februari 1912|{'thu_1_open': '10:00', 'thu_1_close': '12:00'}||||
14|"Welkom op de Facebook-pagina van de studenten van het Rode Kruis Delft en Midden-Delfland!
Een studentenorganisatie gericht op het betrekken van jongvolwassen vrijwilligers en studenten van Delft en omgeving bij het vrijwilligerswerk van het Rode Kruis."|Nonprofit Organization|[{'id': '2603', 'name': 'Nonprofit Organization'}, {'id': '2606', 'name': 'Cause'}]||"Welkom op de Facebook-pagina van de studenten van het Rode Kruis Delft en Midden-Delfland!
Een studentenorganisatie gericht op het betrekken van jongvolwassen vrijwilligers en studenten van Delft en omgeving bij het vrijwilligerswerk van het Rode Kruis."|['studentendesk.delft@rodekruis.nl']|{'count': 277, 'social_sentence': '277 people like this.'}|277.0||459686921046656|0.0|https://www.facebook.com/RodeKruisStudentendeskDelft/|"Welkom op de Facebook-pagina van de studenten van het Rode Kruis Delft en Midden-Delfland!
 
Wij zijn een studentenorganisatie die gericht is op het betrekken van jongvolwassen vrijwilligers en studenten van Delft en omgeving bij het vrijwilligerswerk van het Rode Kruis.
Onze studentenorganisatie is opgericht op 30 maart 2017 en wordt op dit moment aangestuurd door een studentencommissie bestaande uit 4 leden.
 
De voornaamste doelen van de studentenorganisatie zijn:
- het bevorderen van de betrokkenheid van studenten en jongvolwassenen bij het Rode Kruis
- het enthousiasmeren van studenten en nieuwe vrijwilligers voor de activiteiten van het Rode Kruis
- het bieden van draagvlak voor het opzetten van eigen projecten door studenten

De komende tijd willen we ons richten op het promoten van onze studentenorganisatie. Via deze facebookpagina zullen wij veel informatie delen, dus stay tuned!"|Rode Kruis Studentendesk Delft||Vulcanusweg 263, 2624AV Delft|RodeKruisStudentendeskDelft|www.rodekruis.nl/studentendesk-delft|||||04/20/2017|
15|Wij helpen mensen in nood. Dat doen we om de hoek – en ver weg. Dat doen we vanuit ons hart en met de mouwen opgestroopt. Want wij zijn het Rode Kruis.|Nonprofit Organization|[{'id': '2603', 'name': 'Nonprofit Organization'}]|"Het Rode Kruis is de hulporganisatie op het gebied van noodhulp, zelfredzaamheid en EHBO / Eerste hulp. Kijk voor meer informatie op www.rodekruis.nl
"||['evenementenhulp.kerkrade@rodekruis.nl']|{'count': 217, 'social_sentence': '217 people like this.'}|217.0||234590103682131|0.0|https://www.facebook.com/rodekruiskerkrade/|Wij helpen mensen in nood. Dat doen we om de hoek – en ver weg. Dat doen we vanuit ons hart en met de mouwen opgestroopt. Want wij zijn het Rode Kruis.|Rode Kruis Kerkrade e.o.|045 205 7010|Hoofdstraat 24b, 6461CR Kerkrade|rodekruiskerkrade|https://www.rodekruis.nl/kerkrade/|27 april 1925||||04/27/1925|
16|Het Rode Kruis is de noodhulp organisatie. De 25 districten tezamen vormen het Rode Kruis in Nederland. In een district zijn verschillende afdelingen actief, waardoor wij er altijd en overal kunnen zijn. |Nonprofit Organization|[{'id': '2603', 'name': 'Nonprofit Organization'}]||||{'count': 100, 'social_sentence': '100 people like this.'}|100.0||535212706999090|0.0|https://www.facebook.com/RodeKruisRR/||Rode Kruis district Rotterdam-Rijnmond||Leeuwenstraat 9, 3011 AL Rotterdam|RodeKruisRR|http://www.rodekruis.nl||||||
17|Het Rode Kruis zoekt studenten die zich willen inzetten voor anderen. Via de Studentendesk Utrecht kun jij helpen en groeien tegelijk! |Safety & First Aid Service|[{'id': '181679458534697', 'name': 'Safety & First Aid Service'}, {'id': '2603', 'name': 'Nonprofit Organization'}, {'id': '2250', 'name': 'Education'}]|Met onze vrijwilligers en via onze lokale aanwezigheid leveren we een actieve bijdrage aan het versterken van gemeenschappen, zodat in tijd van de grootste nood niemand alleen staat. Via onze hulpverlening willen we de zelfredzaamheid van die gemeenschappen dusdanig versterken, dat mensen die daarin leven zichzelf en anderen kunnen helpen. Op basis van respect en medemenselijkheid.|"De Rode Kruis Studentendesk Utrecht helpt direct en daarbij staan wij niet alleen! 

De studentendesk is een project dat in veel studentensteden in Nederland werkt. In Amsterdam, Breda, Delft, Den Haag, Enschede, Groningen, Leiden, Maastricht, Nijmegen, Rotterdam, Tilburg, Zeeland en natuurlijk ook in Utrecht staan studenten klaar om mensen te helpen.

Studenten nemen hierbij een centrale rol in en begeleiden diverse projecten om de zelfredzaamheid te verhogen. 

Ook jij kan hierbij een rol spelen! Via de Utrechtse Studentendesk kun je helpen en groeien tegelijk. Dus neem contact met ons op als je onderdeel wil uitmaken van ons team; dan kunnen we samen kijken of jij het verschil kan maken als flexvrijwilliger of als commissielid van de Rode Kruis Studentendesk Utrecht! "|['studentendeskutrecht@rodekruis.nl']|{'count': 1569, 'social_sentence': '1.5K people like this.'}|1569.0||268578619850608|0.0|https://www.facebook.com/studentendeskutrecht/|We zetten ons in voor kwetsbare groepen binnen Utrecht. Dit doen we samen met studenten. De studenten uit en rondom Utrecht willen we kennis laten maken met het Rode Kruis. Zo wordt het Rode Kruis ook een belangrijk aspect bij een jongere doelgroep en we hopen hiermee op meer vrijwilligers die zich in willen zetten voor het Rode Kruis. |Rode Kruis Studentendesk Utrecht|0302520134|Koningsweg 2, 3582 GE Utrecht (stad)|studentendeskutrecht|http://www.rodekruis.nl/utrecht||||||
18|Welkom op de Facebook pagina van Rode Kruis afdeling Bodegraven.|Nonprofit Organization|[{'id': '2603', 'name': 'Nonprofit Organization'}]||Welkom op de Facebookpagina van Rode Kruis afdeling Bodegraven! We zijn hard bezig deze pagina van alle informatie te voorzien. Binnenkort vindt u hier informatie over onze afdeling, cursussen, kalender, foto's, activiteiten en de link naar onze nieuwe website.... Wordt vervolgd!|['info@rodekruisbodegraven.nl']|{'count': 210, 'social_sentence': '210 people like this.'}|210.0||1123994301053980|0.0|https://www.facebook.com/rodekruisbodegraven/||Rode Kruis Bodegraven|+31172615454|Koninginneweg 3A, 2411 xk Bodegraven|rodekruisbodegraven|https://www.rodekruisbodegraven.nl||||||
19|De afdeling Dronten is actief in de gehele gemeente Dronten (Dronten, Swifterbant, Biddinghuizen).|Safety & First Aid Service|[{'id': '181679458534697', 'name': 'Safety & First Aid Service'}, {'id': '2603', 'name': 'Nonprofit Organization'}]|"De vrijwilligers van Sociale Hulp, Welfare, zorgen dat onze oudere of gehandicapte medemensen bezig gehouden worden, tijdens de gezellige bijeenkomsten.
Samen met de vrijwilligers van Noodhulp zorgen ze ervoor, dat oudere of gehandicapte mensen op vakantie kunnen, en daarbij begeleid worden.

De vrijwilligers van Noodhulp vindt u onder andere bij vele evenementen in de omgeving als eerstehulpverlener.
Zij verzorgen de EHBO diensten waarvoor zij jaarlijks worden bijgeschoold en op competenties worden gecontroleerd."|"Voor alle taken kunnen we altijd vrijwilligers gebruiken.
Naast vrijwilligers kunnen wij ook uw financiële steun gebruiken om al het goede werk in de gemeente Dronten te kunnen doen.

Naast het helpen door onze vrijwilligers willen wij graag ook dat veel mensen kennis krijgen van Eerste Hulp. Dit in de vorm van enkel Reanimatie met AED tot en met het uitgebreide EHBO diploma volgens het sterren systeem van Het Nederlandse Rode Kruis. Het diploma van Het Nederlandse Rode Kruis is Europees Erkend.
Voor het Hartveilig Wonen willen we veel mensen opleiden in het reanimeren met gebruik van de AED, net als de hartstichting, zijn wij reanimatiepartner.

Het helpen van de medemens kan u veel voldoening geven.

U kunt zich natuurlijk ook aanmelden als vrijwilliger bij de afdeling Dronten, zie hiervoor het formulier op de website

Voor meer informatie over het Nederlandse Rode Kruis in het algemeen staat op de website van  Het Rode Kruis"|['info@rodekruisdronten.nl']|{'count': 242, 'social_sentence': '242 people like this.'}|242.0||1496796547204864|0.0|https://www.facebook.com/rodekruisdronten/|Onze missie is het voorkomen en verzachten van menselijk lijden waar dan ook, het beschermen van levens en gezondheid en het waarborgen van respect voor de mens. Daartoe mobiliseren we de kracht van menslievendheid en solidariteit: we creeren een ruimte waarin mensen in nood, vrijwillige hulpverleners en donoren samenkomen en invulling geven aan ons aller verantwoordelijkheid om anderen te helpen. |Rode Kruis Dronten||Gouwe 50, Dronten|rodekruisdronten|http://www.rodekruis.nl/dronten|Henri Dunant|||||
20|Wij helpen mensen in nood. Dat doen we om de hoek – en ver weg. Dat doen we vanuit ons hart en met de mouwen opgestroopt. Want wij zijn het Rode Kruis.|Nonprofit Organization|[{'id': '2603', 'name': 'Nonprofit Organization'}, {'id': '185032388204011', 'name': 'First Aid Class'}, {'id': '1758418281071392', 'name': 'Local Service'}]|Het Rode Kruis is de hulporganisatie op het gebied van noodhulp, evenementenhulp, zelfredzaamheid en EHBO / Eerste hulp. Kijk voor meer informatie op http://rodekruis.nl/fryslan|Het Rode Kruis is de grootste hulpverlenende organisatie ter wereld. Wereldwijd zijn er twee internationale organisaties actief: het Internationale Comite van het Rode Kruis (ICRC) en de Federatie van Rode Kruis- en Rode Halve Maanverenigingen (IFRC).|['helpdeskfriesland@rodekruis.nl']|{'count': 474, 'social_sentence': '474 people like this.'}|474.0|Het Rode Kruis is de grootste hulpverlenende organisatie ter wereld. Wereldwijd zijn er twee internationale organisaties actief: het Internationale Comite van het Rode Kruis (ICRC) en de Federatie van Rode Kruis- en Rode Halve Maanverenigingen (IFRC).|545790135488335|0.0|https://www.facebook.com/rodekruisfryslan/|Onze missie is het voorkomen en verzachten van menselijk lijden waar dan ook, het beschermen van levens en gezondheid en het waarborgen van respect voor de mens. Onze bijzondere aandacht gaat daarbij uit naar hen die het meest kwetsbaar zijn: mensen die zonder onze hulp niet of slecht zouden overleven, of van wie de gezondheid zonder hulpverlening in gevaar zou komen.|Rode Kruis Fryslân|06 3405 2876|James Wattstraat 4, 8912 AR Leeuwarden|rodekruisfryslan|https://www.rodekruis.nl/fryslan/||{'mon_1_open': '09:00', 'mon_1_close': '17:00', 'tue_1_open': '09:00', 'tue_1_close': '17:00', 'wed_1_open': '09:00', 'wed_1_close': '17:00', 'thu_1_open': '09:00', 'thu_1_close': '17:00', 'fri_1_open': '09:00', 'fri_1_close': '17:00'}||||https://www.rodekruis.nl/privacy-statement/
